customer_id,customer_name,product_id,product_name,sales_amount,quantity,transaction_date
C5859,Elizabeth Hernandez,P00003,Line,1713.16,7,2023-04-14
C2428,Aaron Callahan,P00003,Line,2913.93,3,2022-05-22
C6837,Mark Simon,P00045,Meet,432.74,5,2023-08-10
C7976,Whitney French,P00099,Add,3954.0,14,2024-11-20
C9877,Peggy Shaffer,P00062,Write,3312.23,2,2024-12-01
C7370,William Davis,P00015,Collection,4127.63,2,2024-11-05
C2517,Derek Calhoun,P00049,Staff,2969.75,14,2023-06-12
C4726,Jeffrey Meyer,P00022,Fine,2702.38,17,2022-07-13
C1433,Stephen Ferguson,P00031,Present,4498.62,9,2024-02-02
C5267,Michael Edwards,P00077,Research,4004.79,10,2023-10-19
C7658,Elijah Rose,P00052,Car,2901.36,12,2023-03-25
C5631,Brittney Lopez,P00029,Live,835.03,1,2024-12-12
C7410,Sean Mcknight,P00019,White,1425.11,2,2025-01-29
C2564,Brandon Buckley,P00008,Until,407.39,5,2024-11-15
C7823,Erika Aguirre,P00098,Practice,872.4,4,2023-10-06
C8267,Paul Klein,P00001,Require,3233.12,6,2023-03-13
C8458,Julie Holland,P00091,Also,3853.54,8,2024-02-09
C5803,Madison Crawford,P00014,Information,2071.52,14,2023-10-03
C7850,Jeremiah Jackson,P00013,Environmental,1642.5,15,2024-03-26
C8469,Melissa Hubbard,P00055,Play,2425.0,6,2024-05-23
C9075,Danielle Powers,P00012,Policy,4120.39,20,2024-09-16
C7340,Jason Graham,P00062,Write,1547.39,8,2024-02-18
C5324,Shelley Winters,P00058,His,2079.19,12,2023-03-28
C5483,Alyssa Henderson,P00036,Stay,65.44,11,2024-06-22
C8165,Jennifer Stephens,P00039,Often,4151.97,8,2023-04-26
C8716,Jamie Mueller,P00056,Road,606.98,6,2024-07-18
C9094,Samuel Williams,P00033,Sell,4608.3,1,2022-10-02
C1333,Christina Page,P00024,Deal,2751.79,4,2023-03-08
C4260,Brian Gates,P00097,Talk,583.31,1,2023-05-22
C3092,Robin White,P00065,Response,677.66,12,2023-03-29
C6542,Jamie Miller,P00074,City,1375.6,18,2022-09-09
C6110,Sarah Jones,P00064,Note,4996.24,1,2024-10-16
C3457,Kathy Williams,P00077,Research,1096.95,12,2023-02-05
C8713,Michael Young,P00093,My,2472.0,15,2023-04-01
C6989,Roger Wilson,P00074,City,4295.64,14,2025-03-02
C3544,Danielle Willis,P00072,Director,1691.96,4,2024-08-27
C1983,Madison Brown,P00028,That,1431.55,9,2023-03-14
C3457_1,Brenda Mcpherson,P00100,Travel,2758.32,8,2023-03-16
C7747,Ellen Carter,P00025,Guess,4899.48,10,2022-05-31
C6834,Jennifer Green,P00001,Require,1378.25,2,2022-09-30
C4403,Darrell Santiago,P00036,Stay,2496.05,13,2023-06-01
C9737,Stephanie Atkins,P00024,Deal,812.95,1,2023-06-23
C4720,Patricia Hale,P00014,Information,1952.02,8,2023-02-26
C5125,Janice Holt,P00048,Who,4074.89,10,2022-04-26
C8964,Michelle Martin,P00038,Choose,331.48,19,2024-03-21
C9338,Michelle Burton,P00041,Attorney,2151.47,13,2023-03-08
C1038,Andrew Rodriguez,P00086,Expect,273.06,10,2022-05-14
C5167,Linda Wright,P00022,Fine,500.26,11,2022-12-26
C8632,David Fitzgerald,P00028,That,950.98,9,2022-04-02
C2336,Noah Wilson,P00071,Almost,4049.17,15,2024-10-03
C7074,Jeffery Long,P00066,Never,4807.93,4,2022-04-22
C3270,Sherry Walker,P00016,Drive,2191.26,5,2024-02-28
C5959,Sheila Day,P00053,Course,3415.76,9,2024-09-20
C6389,Andre Warner,P00089,Mention,2670.54,5,2022-10-31
C6043,Stephen Richardson,P00094,Fund,4899.56,19,2023-05-25
C1301,Lisa Williams,P00060,Practice,3626.95,19,2024-09-19
C5287,Nancy Graham,P00036,Stay,4064.02,13,2023-02-17
C9852,Albert Williams,P00073,Research,1137.73,11,2022-07-22
C4131,Patricia Roberts,P00057,Write,454.11,18,2023-07-07
C3078,Bryan Brewer,P00060,Practice,3320.32,8,2024-08-22
C5333,Dana Andrews,P00016,Drive,3674.66,12,2023-04-10
C5779,Scott Wilcox,P00047,Successful,540.89,6,2024-07-28
C9655,Kristen Turner MD,P00045,Meet,4289.82,15,2024-04-04
C7563,Lisa Smith,P00048,Who,4278.09,14,2023-04-04
C3155,Brendan Evans,P00016,Drive,744.82,3,2022-12-03
C4789,Sylvia Watson,P00057,Write,1184.87,5,2023-09-17
C1017,Ashley Daugherty,P00010,Guy,4728.57,12,2023-07-18
C7019,Nicholas Brooks,P00023,Better,4517.24,3,2023-10-09
C6904,Kristi Roman,P00078,Step,2845.89,18,2024-11-18
C6538,Johnathan Jenkins,P00038,Choose,2032.2,12,2022-12-24
C9032,Karla Brown,P00011,Often,4295.22,16,2023-05-02
C5509,Lori Williams,P00049,Staff,52.67,9,2023-05-07
C4284,Lindsay Garza,P00068,Treat,897.06,20,2022-06-21
C6811,Erin Moreno,P00091,Also,183.83,4,2022-03-24
C9587,Michael Riley,P00032,From,2963.67,15,2023-03-26
C4440,Randy Mcdonald,P00079,Physical,3701.48,10,2024-12-31
C7858,Laura Barnett,P00008,Until,2288.15,7,2023-04-01
C5876,Tracey King,P00085,Friend,1102.24,19,2023-04-01
C5054,William Thomas,P00001,Require,4947.82,2,2025-01-11
C1274,James Costa,P00031,Present,434.03,18,2024-12-21
C2734,Sarah Mckenzie,P00002,High,1127.14,18,2025-03-18
C3491,Sean Patrick,P00028,That,1550.54,18,2023-03-26
C4669,Colleen Barnes,P00021,Structure,629.93,9,2023-02-26
C9340,Alan Sherman,P00094,Fund,2517.5,5,2022-08-19
C7258,Alicia Obrien,P00046,Really,4063.07,15,2024-06-07
C3138,Victoria Martinez,P00051,Author,2782.77,10,2024-09-18
C2933,Casey Oconnor,P00049,Staff,2578.39,14,2024-06-20
C8231,Brittany Carroll,P00077,Research,3049.79,11,2023-05-02
C9531,Nathan Mcneil,P00028,That,1547.79,5,2024-12-25
C4346,Tiffany Hebert,P00004,Claim,1328.04,14,2025-01-08
C4410,Michele Williamson,P00013,Environmental,1708.34,12,2024-06-11
C1280,Mario Lewis,P00060,Practice,3358.66,7,2023-02-08
C5691,Adam Morris MD,P00098,Practice,4030.35,13,2023-04-24
C9068,Matthew Jefferson,P00004,Claim,3037.48,10,2023-07-09
C2836,Kevin Sanchez,P00065,Response,3646.47,16,2024-07-07
C9811,Luis Williams,P00075,End,3119.83,13,2024-03-02
C4712,Joshua Hart,P00019,White,344.97,15,2024-01-08
C5125_1,Trevor Austin,P00035,Second,889.04,11,2023-05-25
C6800,Tony Johnson,P00014,Information,4308.84,19,2024-10-17
C4501,Paula Wood,P00072,Director,2722.0,4,2024-11-01
C6689,Christina Rodriguez,P00037,Thank,3061.5,19,2023-05-01
C9808,Richard Hughes,P00065,Response,4728.08,9,2025-01-24
C2865,Mark Reid,P00023,Better,648.6,19,2024-07-21
C8546,Katherine Parker,P00031,Present,3125.37,3,2023-09-06
C8442,Andrew Russell,P00031,Present,4911.16,18,2024-02-01
C3480,Kristy Olsen,P00033,Sell,3133.84,8,2024-03-09
C8055,Amber Robertson,P00028,That,842.88,19,2025-01-10
C4461,Joseph Robinson,P00031,Present,3107.63,11,2025-03-10
C3445,Tracey Sanchez,P00014,Information,1764.36,17,2025-01-26
C1250,Stacie Stevens,P00074,City,3069.49,5,2023-02-12
C9935,Janice Thompson,P00036,Stay,1677.06,17,2022-09-14
C7544,Bill Henson,P00046,Really,3636.67,18,2024-12-25
C8117,Richard Ramsey,P00090,Summer,1062.15,13,2022-09-15
C7101,William Mendez,P00011,Often,1534.33,5,2023-11-11
C5554,Olivia Gray,P00058,His,1695.3,15,2024-09-17
C8083,Heather Brewer,P00022,Fine,3673.67,6,2022-10-13
C1361,Elizabeth Williams DDS,P00051,Author,3066.47,3,2023-04-20
C5272,Tamara Perry,P00012,Policy,2243.58,1,2023-08-31
C4600,Crystal Hendricks,P00073,Research,2061.49,3,2024-06-13
C1373,Tracy Sanford,P00035,Second,4601.13,11,2022-07-16
C5416,Brandon Burns,P00100,Travel,1182.54,17,2023-07-10
C3700,Gwendolyn Miller,P00066,Never,3412.66,20,2023-07-04
